rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
1053,insolvency law,1,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Therein, this Court, inter alia, pointed out that ‘one of the important objectives of the Code is to bring the insolvency law in India under a single unified umbrella with the object of speeding up of the insolvency process’."
1054,develop country,2,7,7,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,In under developed countries public enterprises fostered on public revenues are expected to play a more positive role in financing the countries' development than similar enterprises do in developed economies.
1055,clause iii,4,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Assuming that the jagirs, zamindaris and muafis with which we are concerned here are the result of some contracts or agreements entered into by Ruler of Rampur, clause (iii) makes it clear that these contracts and agreements would only be h"
1056,public pathway,1,7,7,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,(iii)The appellant Municipality had no right to put up any statue or structures on the public pathway which were not necessary for the maintenance and user of it as a pathway.
1057,city civil court,3,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In the year 1955-56, a lady by name Dildar-Un-Nissa Begum, who was one of the lineal descendants of Khurshid Jah filed a suit in O.S.No.41 of 1955-56 on the file of the City Civil Court, Hyderabad, claiming (i) that the Estate left behind b"
1058,day notice,4,7,7,spacy,0,non-informative,TEMPORAL,,,,"less than twenty days notice of its intention so to do may by like notification add to or delete from Schedule B and thereupon Schedule B shall be deemed to be amended accordingly""."
1059,land owner,5,7,7,spacy,1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,After repartition has been finally sanctioned under the provisions of the Act and has been effected a new record of rights has to be prepared and then if all the land-owners agree to enter into possession in accordance with the scheme of re
1060,debt service,1,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"If the average Availability of the Power Station is reduced below sixty (60) percent for over two (2) consecutive months or for any non consecutive period of four (4) months both within any continuous period of sixty (60) months, as a resul"
1061,issue no.14(a,1,7,7,spacy,0,non-informative,CITATION-REF,,,,extract Issue No.14(a) which reads as follows:- “14(a).
1062,special order,5,7,7,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"So also the Central Board of Excise and Customs had power under Rule 8 sub-rule (2) to make a special order in the case of each of respondents granting the same exemption, because it could legitimately be said that, having regard to the rep"
1063,additional civil judge,2,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"We need not go into the various stages of this litigation except to state that ultimately by judgment dated 14.12.1961 delivered by Additional Civil Judge, Bangalore vide Regular Appeal No. 70/51"
1064,proprietary right,4,7,7,"spacy,textacy",1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,A person who did not own any other land in the village could therefore have no proprietary right or interest in Shamlat-deh lands.
1065,thekedari act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Consequently, the Thekedari Act was passed and received the assent of the President on April 18, 1954 and was to come into force from July 1, 1954."
1066,partition total,1,7,7,spacy,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,Section 171 of the Act applies to a case where there is a Hindu undivided family which had been assessed as such under the Act until a claim is made under Section 171(2) that there has been a partition-total or partial in it.
1067,r. p. sharma,1,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"S. P. Jinadathappa vs R. P. Sharma And Others on 17 April, 1961 COURT 1523"
1068,respondent tenant,2,7,7,spacy,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"Vijay Laxmi Gangal vs Mahendra Pratap Grag on 8 May, 1985 possession from the respondent-tenant on the allegation that the demised property was situated beyond the municipal limits of the town, and was exempt from the provisions of the Utta"
1069,consensual transfer,1,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"But the question is whether, having regard to the manifest intent of the Constitution makers to secure the independence of the superior Judiciary and the context and the setting of the provision in which the word 'transfer' occurs, should i"
1070,nominate authority,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Sub-section (1) of Section 3 of the said Act permits the nominated authority to enter and inspect the building or premises at any time for ascertaining the adequacy or contravention of fire prevention and fire safety measures.
1071,defendant appellant,3,7,7,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,This is an appeal on a certificate granted by the Patna High Court: The respondents brought a suit with respect to ten plots of land and claimed a declaration that the property belonged to them and prayed for possession of the plots by ejec
1072,requisition order,1,7,7,"spacy,textacy",1,informative,PROCEDURE-RELIEF,LAND-ACQUISITION,PROCEDURAL,,"In such a situation the continuation of requisition orders could not be held to be bad in law, nor could the court specify that requisitions could not continue beyond a particular number of years."
1073,prevention of corruption act,2,7,7,yake,1,informative,STATUTE-PROVISION,,RULE,,
1074,assume charge,1,7,7,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,Mr. Sheth complied with the order of transfer and assumed charge of his office as a J (i)
1075,application no.139,1,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"By order dated 16.09.1972 passed in Application No.139 of 1971, the High Court allowed the Receiver to partition only the claims in terms of value of the lands as the lands were not in possession of the shareholders."
1076,individual capacity,1,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Dismissing the Appeal, ^ HELD: 1(i) Section 3 of the Act read with the definitions of ""net-wealth"" as given in Section 2(m) and ""assets"" given in section 2(e) clearly brings out the exigibility of a partner's interest in a firm either in hi"
1077,displaced family,1,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Principles for rehabilitation of displaced families: 1.
1078,insurance contract,2,7,7,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"The District Forum allowed the appellants’ complaint holding firstly that an insurance contract evidences a commercial transaction, and is to be construed like any other agreement, on its own terms subject to fulfillment of the conditions o"
1079,court be of the opinion,4,7,7,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1080,expression tenant,2,7,7,spacy,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"Through Lrs And ... on 28 February, 1985 benefits on them than were in fact conferred by the earlier enactments which were repealed, this is clear if regard be had to the wider definition of the expression tenant' adopted in s. S (II) and t"
1081,transferee landlord,1,7,7,spacy,1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"14.12.81, on the findings that review application was not maintainable and respondent no. 4 had no jurisdiction to review his order on the ground of absence of notice to respondent no. 1 who was transferee landlord."
1082,income of the deceased,3,7,7,yake,1,informative,MONETARY-VALUATION,,EVIDENCE,,
1083,particular provision,5,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Whereas an appeal lies by virtue of s. 96 of the Code against every decree which is defined in s. 2 of the Code, only certain types of orders under particular provisions of the Code Which are listed in s. 104 are capable of appeal and Done "
1084,court shall take cognizance,2,7,7,rake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1085,administrative law,3,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"It is a well settled proposition of law and this proposition ,Should apply equally in the field of administrative law, that when a party approaches a tribunal for discretionary relief, he must not only come with clean hands but must also sh"
1086,assistant information officer,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"On August 31, 1955, the appellant was informed by the then Secretary, Ministry of Information and Broadcasting, that the Union Public Service Commission had objected to his appointment as Assistant Station Director, holding that such appoin"
1087,preliminary objection,4,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The respondents raised a preliminary objection that the order of the High Court was not a. 'final order' and, therefore, the certificate granted by the High Court under Art."
1088,early proceeding,4,7,7,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"79/49 the trial court has held that, even though Shyamala Raju is found to be in possession, whether Shyamala Raju was a tenant of Iyengar or K.S. Setlur was not fairly established and, therefore, in none of the earlier proceedings it had b"
1089,concerned authority,4,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,They enjoyed great clout with the concerned authorities.
1090,income tax west bengal,4,7,7,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"J.C. Shah, V. Ramaswami COMMISSIONER OF INCOME-TAX WEST BENGAL,CALCUTTA Vs. SMT."
1091,suits valuation act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"S.M. Sikri, A.N. Ray, D.G. Palekar, M. Hameedullah Beg, S.N. Dwivedi SECRETARY, GOVERNMENT OF MADRAS, HOMEDEPARTMENT AND ANOTHER Vs. ZENITH LAMP & ELECTRICAL LTD. DATE OF JUDGMENT10/11/1972 SIKRI, S.M. (CJ) SIKRI, S.M. (CJ) RAY, A.N. PALEKA"
1092,aggrieved party,6,7,7,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
1093,high court set aside,7,7,7,rake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1094,regulatory authority,2,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In the event of the private sector getting involved in the nuclear power programme, it might be required for the regulatory authority to ensure that the necessary knowledge base does exist in the concerned private industry for building and "
1095,low court,5,7,7,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,This (1) 70 I.A. 1. plea was given effect to by both the lower 'courts as well as by the Privy Council.
1096,suit institute,7,7,7,rake,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,
1097,industrial disputes act,3,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"There is a definition of ""public utility service"" in s. 2(n) of the Industrial Disputes Act, 1947 which, inter alia, covers ""any industry which supplies power, light or water to the public"" and certain notified industries."
1098,appellate authority,5,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Any order passed by him as an appellate authority is an order in regard to repartition which has to be taken into consideration for the purposes of bringing the scheme into effect under s. 24 of the Act.
1099,trust property,2,7,7,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"It provides that the trust property can be utilised for the advancement of any other object of general public utility, particularly in the State of Hyderabad."
1100,government company,2,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"(ii) There would be a Transmission Utility at the Central as well as State level, which would be a Government company and have the responsibility of ensuring that the transmission network is developed in a planned and coordinated manner to "
1101,moveable property,2,7,7,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,In other words the question to the considered is whether the interest of a partner in partnership assets is to be treated as moveable property or both moveable and immoveable depending on the character of the property for the purposes of Se
1102,court fees act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,In its counteraffidavit the State urged that the rates of fee prescribed under the Court Fees Act of 1955 were not excessive and that the levy did not amount to a tax on litigation.
1103,revenue court,2,7,7,"spacy,textacy,yake",1,informative,FORUM-AUTHORITY,REVENUE-TENURE,ACTOR,,No. 14 of 1961 before the Revenue Court.
